ID,_Index,TraitTreeID,TraitCurrencyID
921,7,239,890
922,6,239,891
923,5,239,892
924,4,239,893
925,3,239,894
926,2,239,895
927,1,239,13
928,0,239,2
929,7,240,896
930,6,240,897
931,5,240,898
932,4,240,899
933,3,240,900
934,2,240,901
935,1,240,13
936,0,240,2
1188,7,276,1105
1189,6,276,1106
1190,5,276,1107
1191,4,276,1108
1192,3,276,1109
1193,2,276,1110
1194,1,276,13
1195,0,276,2
1376,8,302,1233
1377,7,302,1234
1378,6,302,1235
1379,5,302,1236
1380,4,302,1237
1381,3,302,1238
1382,2,302,1239
1383,1,302,3
1384,0,302,1
1385,5,303,1240
1386,4,303,1241
1388,3,303,1243
1389,2,303,1244
1390,1,303,3
1391,0,303,1
1400,14,305,1251
1401,13,305,1252
1402,12,305,1253
1403,11,305,1254
1404,10,305,1255
1405,9,305,1256
1406,8,305,1257
1407,7,305,1258
1408,6,305,1259
1409,5,305,1260
1410,4,305,1261
1411,3,305,1262
1412,2,305,1263
1413,1,305,3
1414,0,305,1
1634,11,348,1431
1635,6,348,1432
1636,12,348,1433
1637,10,348,1434
1638,8,348,1435
1639,7,348,1436
1640,5,348,1437
1641,9,348,1438
1642,4,348,1439
1643,3,348,1440
1644,2,348,1441
1645,1,348,19
1646,0,348,9
1654,12,350,1447
1655,11,350,1448
1656,10,350,1449
1657,9,350,1450
1658,8,350,1451
1659,7,350,1452
1660,6,350,1453
1661,5,350,1454
1662,4,350,1455
1663,3,350,1456
1664,2,350,1457
1665,1,350,19
1666,0,350,9
1673,5,352,1462
1674,4,352,1463
1675,3,352,1464
1676,2,352,1465
1677,1,352,18
1678,0,352,8
1679,6,353,1466
1680,5,353,1467
1681,4,353,1468
1682,3,353,1469
1683,2,353,1470
1684,1,353,18
1685,0,353,8
1686,2,354,1471
1687,0,354,8
1688,8,355,1472
1689,7,355,1473
1690,6,355,1474
1691,5,355,1475
1692,4,355,1476
1693,3,355,1477
1694,2,355,1478
1695,1,355,18
1696,0,355,8
1743,5,376,1535
1744,4,376,1536
1745,3,376,1537
1746,2,376,1538
1747,1,376,19
1748,0,376,9
1749,6,377,1539
1750,5,377,1540
1751,4,377,1541
1752,3,377,1542
1753,2,377,1543
1755,0,377,9
1882,4,403,1665
1883,3,403,1666
1884,2,403,1667
1885,1,403,21
1886,0,403,11
1887,5,404,1668
1888,4,404,1669
1889,3,404,1670
1890,2,404,1671
1891,1,404,21
1892,0,404,11
1893,4,405,1672
1894,3,405,1673
1895,2,405,1674
1896,1,405,21
1897,0,405,11
1905,6,407,1680
1906,5,407,1681
1907,4,407,1682
1908,3,407,1683
1909,2,407,1684
1910,1,407,17
1911,0,407,7
1912,9,408,1685
1913,8,408,1686
1914,7,408,1687
1915,6,408,1688
1916,5,408,1689
1917,4,408,1690
1918,3,408,1691
1919,2,408,1692
1920,1,408,17
1921,0,408,7
2074,5,444,1783
2075,4,444,1784
2076,3,444,1785
2077,2,444,1786
2078,0,444,12
2079,5,445,1787
2080,4,445,1788
2081,3,445,1789
2082,2,445,1790
2083,1,445,22
2084,0,445,12
2085,6,446,1791
2086,5,446,1792
2087,4,446,1793
2088,3,446,1794
2089,2,446,1795
2090,1,446,22
2091,0,446,12
2107,14,448,1809
2108,13,448,1810
2109,12,448,1811
2110,11,448,1812
2111,10,448,1813
2112,9,448,1814
2113,8,448,1815
2114,7,448,1816
2115,6,448,1817
2116,5,448,1818
2117,4,448,1819
2118,3,448,1820
2119,2,448,1821
2120,1,448,22
2121,0,448,12
2176,4,469,1869
2177,3,469,1870
2178,2,469,1871
2179,0,469,1
2229,16,478,1909
2230,15,478,1910
2231,14,478,1911
2232,13,478,1912
2233,12,478,1913
2234,11,478,1914
2235,10,478,1915
2236,9,478,1916
2237,8,478,1917
2238,7,478,1918
2239,6,478,1919
2240,5,478,1920
2241,4,478,1921
2242,3,478,1922
2243,2,478,1923
2244,1,478,17
2245,0,478,7
2686,5,557,2296
2687,4,557,2297
2688,3,557,2298
2689,2,557,2299
2691,0,557,5
2692,5,558,2300
2693,4,558,2301
2694,3,558,2302
2695,2,558,2303
2697,0,558,5
2698,4,559,2304
2699,3,559,2305
2700,2,559,2306
2702,0,559,5
2703,5,560,2307
2704,4,560,2308
2705,3,560,2309
2706,2,560,2310
2707,0,560,5
2794,3,601,2394
2795,5,601,2395
2796,4,601,2396
2797,2,601,2397
2798,1,601,20
2799,0,601,10
2800,4,602,2398
2801,3,602,2399
2802,2,602,2400
2803,1,602,20
2804,0,602,10
2805,6,603,2401
2806,5,603,2402
2807,4,603,2403
2808,3,603,2404
2809,2,603,2405
2810,1,603,20
2811,0,603,10
2876,6,640,2474
2877,5,640,2475
2878,4,640,2476
2879,3,640,2477
2880,2,640,2478
2881,1,640,16
2882,0,640,6
2883,4,641,2479
2884,3,641,2480
2885,2,641,2481
2886,1,641,16
2887,0,641,6
2888,6,642,2482
2889,5,642,2483
2890,4,642,2484
2891,3,642,2485
2892,2,642,2486
2893,1,642,16
2894,0,642,6
2977,12,673,2564
2978,11,673,2565
2979,10,673,2566
2980,9,673,2567
2981,8,673,2568
2982,7,673,2569
2983,6,673,2570
2984,5,673,2571
2985,4,673,2572
2986,3,673,2573
2987,2,673,2574
2988,1,673,14
2989,0,673,4
3036,4,698,2618
3037,3,698,2619
3038,2,698,2620
3039,1,698,14
3040,0,698,4
3041,6,699,2621
3042,5,699,2622
3043,4,699,2623
3044,3,699,2624
3045,2,699,2625
3046,0,699,4
3049,1,701,2629
3050,2,701,2628
3200,2,781,2778
3201,3,781,2777
3209,1,699,14
3210,1,469,3
3211,1,354,18
3212,1,560,15
3214,1,444,22
3222,3,354,2788
3223,4,354,2787
3238,1,557,15
3239,1,558,15
3242,1,793,2801
3243,2,793,2800
3244,1,559,15
3280,1,377,19
3369,3,877,2935
3370,4,877,2934
3375,1,880,2941
3376,2,880,2942
3377,3,880,2940
3378,1,751,2943
3394,4,781,2959
3479,3,898,2986
3480,4,898,2987
3481,5,898,2988
3482,6,898,2989
3490,0,903,2971
3491,1,903,2972
3492,2,903,2998
3493,3,903,2997
3494,4,903,2996
3495,0,904,2971
3496,1,904,2972
3497,2,904,3003
3498,3,904,3002
3499,4,904,3001
3500,5,904,3000
3501,6,904,2999
3502,0,905,2971
3503,1,905,2972
3504,2,905,3009
3505,7,905,3008
3506,3,905,3007
3507,4,905,3006
3508,5,905,3005
3509,6,905,3004
3569,0,919,2981
3570,1,919,2982
3571,2,919,3050
3572,3,919,3049
3573,4,919,3048
3574,5,919,3047
3575,0,920,2981
3576,1,920,2982
3577,2,920,3053
3578,3,920,3052
3579,4,920,3051
3580,0,921,2981
3581,1,921,2982
3582,2,921,3056
3583,3,921,3055
3584,4,921,3054
3700,0,935,2977
3701,1,935,2978
3702,2,935,3153
3703,3,935,3152
3704,4,935,3151
3705,5,935,3150
3706,6,935,3149
3707,7,935,3148
3716,0,937,2977
3717,1,937,2978
3718,2,937,3163
3719,3,937,3162
3720,4,937,3161
3721,5,937,3160
3722,0,938,2977
3723,1,938,2978
3724,2,938,3174
3725,3,938,3173
3726,4,938,3172
3727,5,938,3171
3728,6,938,3170
3729,7,938,3169
3730,8,938,3168
3731,9,938,3167
3732,10,938,3166
3733,11,938,3165
3734,12,938,3164
3735,1,898,3082
3736,2,898,3081
3737,0,939,2977
3738,1,939,2978
3739,2,939,3185
3740,3,939,3184
3741,4,939,3183
3742,5,939,3182
3743,6,939,3181
3744,7,939,3180
3745,8,939,3179
3746,9,939,3178
3747,10,939,3177
3748,11,939,3176
3749,12,939,3175
3837,0,946,2975
3838,1,946,2976
3839,2,946,3263
3840,3,946,3262
3841,4,946,3261
3899,0,950,2975
3900,1,950,2976
3901,2,950,3331
3902,3,950,3330
3903,4,950,3329
3904,5,950,3328
3905,6,950,3327
3906,7,950,3326
3907,8,950,3325
3908,9,950,3324
3909,10,950,3323
3910,11,950,3322
3911,12,950,3321
3912,13,950,3320
3913,14,950,3319
3914,15,950,3318
3915,16,950,3317
3916,17,950,3316
3917,18,950,3315
3918,0,951,2975
3919,1,951,2976
3920,2,951,3339
3921,3,951,3338
3922,9,951,3337
3923,4,951,3336
3924,5,951,3335
3925,6,951,3334
3926,7,951,3333
3927,8,951,3332
3974,0,960,2963
3975,1,960,2964
3976,2,960,3372
3977,3,960,3371
3978,4,960,3370
3979,0,961,2963
3980,1,961,2964
3981,2,961,3378
3982,3,961,3377
3983,4,961,3376
3984,5,961,3375
3985,6,961,3374
3986,7,961,3373
3987,0,962,2963
3988,1,962,2964
3989,2,962,3381
3990,3,962,3380
3992,0,963,2963
3993,1,963,2964
3994,2,963,3383
3995,7,963,3382
4000,0,965,2965
4001,1,965,2966
4002,2,965,3400
4003,3,965,3399
4004,4,965,3398
4005,5,965,3397
4006,6,965,3396
4007,7,965,3395
4008,8,965,3394
4009,9,965,3393
4010,10,965,3392
4011,11,965,3391
4012,12,965,3390
4013,13,965,3389
4014,14,965,3388
4015,0,966,2965
4016,1,966,2966
4017,2,966,3404
4018,3,966,3403
4019,4,966,3402
4020,5,966,3401
4045,0,969,2965
4046,1,969,2966
4047,2,969,3431
4048,3,969,3430
4049,4,969,3429
4050,5,969,3428
4051,6,969,3427
4052,7,969,3426
4053,8,969,3425
4066,0,971,2965
4067,1,971,2966
4068,2,971,3451
4069,3,971,3450
4070,4,971,3449
4071,5,971,3448
4072,6,971,3447
4073,7,971,3446
4074,8,971,3445
4075,9,971,3444
4076,10,971,3443
4077,11,971,3442
4078,0,972,2973
4079,1,972,2974
4080,2,972,3461
4081,3,972,3460
4082,4,972,3459
4083,5,972,3458
4084,6,972,3457
4085,7,972,3456
4086,8,972,3455
4087,9,972,3454
4088,10,972,3453
4089,11,972,3452
4090,0,973,2973
4091,1,973,2974
4092,2,973,3470
4093,3,973,3469
4094,4,973,3468
4095,5,973,3467
4096,6,973,3466
4097,7,973,3465
4098,8,973,3464
4099,9,973,3463
4100,10,973,3462
4101,0,974,2973
4102,1,974,2974
4103,2,974,3474
4104,3,974,3473
4105,4,974,3472
4106,5,974,3471
4107,0,975,2973
4108,1,975,2974
4109,2,975,3478
4110,3,975,3477
4111,4,975,3476
4112,5,975,3475
4113,1,795,2801
4114,2,795,2800
4115,3,795,2986
4116,4,795,2987
4117,5,795,2988
4118,3,793,2986
4119,4,793,2987
4120,5,793,2988
4121,6,793,2989
4123,1,750,2801
4124,2,750,2800
4125,3,750,2986
4126,4,750,2987
4127,5,750,2988
4128,1,854,2801
4129,2,854,2800
4130,3,854,2986
4131,4,854,2987
4132,1,872,2801
4133,2,872,2800
4134,3,872,2986
4135,4,872,2987
4136,5,872,2988
4137,1,658,2801
4138,2,658,2800
4139,3,658,2986
4140,4,658,2987
4141,5,658,2988
4142,1,774,2801
4143,2,774,2800
4144,3,774,2986
4145,4,774,2987
4146,5,774,2988
4152,1,790,2801
4153,2,790,2800
4154,3,790,2986
4155,4,790,2987
4156,5,790,2988
4157,1,852,2801
4158,2,852,2800
4159,3,852,2986
4160,4,852,2987
4161,5,852,2988
4162,1,786,2801
4163,2,786,2800
4164,3,786,2986
4165,4,786,2987
4166,5,786,2988
4167,1,720,2801
4168,2,720,2800
4169,3,720,2986
4170,4,720,2987
4171,5,720,2988
4172,1,850,2801
4173,2,850,2800
4174,3,850,2986
4175,4,850,2987
4176,5,850,2988
4177,0,978,2967
4178,1,978,2968
4179,2,978,3483
4180,3,978,3482
4181,4,978,3481
4182,5,978,3480
4183,0,979,2967
4184,1,979,2968
4185,2,979,3491
4186,3,979,3490
4187,4,979,3489
4188,5,979,3488
4189,6,979,3487
4190,7,979,3486
4191,8,979,3485
4192,9,979,3484
4193,0,980,2967
4194,1,980,2968
4195,2,980,3502
4196,3,980,3501
4197,4,980,3500
4198,5,980,3499
4199,6,980,3498
4200,7,980,3497
4201,8,980,3496
4202,9,980,3495
4203,10,980,3494
4204,11,980,3493
4205,12,980,3492
4206,0,981,2967
4207,1,981,2968
4208,2,981,3506
4209,3,981,3505
4210,4,981,3504
4211,5,981,3503
4212,0,982,2979
4213,1,982,2980
4214,2,982,3510
4215,3,982,3509
4216,4,982,3508
4217,5,982,3507
4218,0,983,2979
4219,1,983,2980
4220,2,983,3513
4221,3,983,3512
4222,4,983,3511
4223,0,984,2979
4224,1,984,2980
4225,2,984,3518
4226,3,984,3517
4227,4,984,3516
4228,5,984,3515
4229,6,984,3514
4230,1,874,3519
4231,3,963,3523
4232,4,963,3522
4233,5,963,3521
4234,6,963,3520
4235,0,987,2983
4236,1,987,2984
4237,2,987,3528
4238,3,987,3527
4239,4,987,3526
4240,5,987,3525
4241,6,987,3524
4242,0,988,2983
4243,1,988,2984
4244,2,988,3533
4245,3,988,3532
4246,4,988,3531
4247,5,988,3530
4248,6,988,3529
4249,0,989,2983
4250,1,989,2984
4251,2,989,3546
4252,3,989,3545
4253,4,989,3544
4254,5,989,3543
4255,6,989,3542
4256,7,989,3541
4257,8,989,3540
4258,9,989,3539
4259,10,989,3538
4260,11,989,3537
4261,12,989,3536
4262,13,989,3535
4263,14,989,3534
4264,0,990,2983
4265,1,990,2984
4266,2,990,3559
4267,3,990,3558
4268,4,990,3557
4269,5,990,3556
4270,6,990,3555
4271,7,990,3554
4272,8,990,3553
4273,9,990,3552
4274,10,990,3551
4275,11,990,3550
4276,12,990,3549
4277,13,990,3548
4278,14,990,3547
4279,0,991,2983
4280,1,991,2984
4281,2,991,3572
4282,3,991,3571
4283,4,991,3570
4284,5,991,3569
4285,6,991,3568
4286,7,991,3567
4287,8,991,3566
4288,9,991,3565
4289,10,991,3564
4290,11,991,3563
4291,12,991,3562
4292,13,991,3561
4293,14,991,3560
4312,0,994,2969
4313,1,994,2970
4314,2,994,3593
4315,3,994,3592
4316,4,994,3591
4317,5,994,3590
4318,6,994,3589
4319,7,994,3588
4320,8,994,3587
4321,0,995,2969
4322,1,995,2970
4323,2,995,3596
4324,3,995,3595
4325,4,995,3594
4326,0,996,2969
4327,1,996,2970
4328,2,996,3604
4329,3,996,3603
4330,4,996,3602
4331,5,996,3601
4332,6,996,3600
4333,7,996,3599
4334,8,996,3598
4335,9,996,3597
4342,0,998,2983
4343,1,998,2984
4344,2,998,3612
4345,3,998,3611
4346,4,998,3610
4347,5,998,3609
4348,0,999,2983
4349,1,999,2984
4350,2,999,3616
4351,3,999,3615
4352,4,999,3614
4353,5,999,3613
4358,1,1000,3623
4359,2,1000,3625
4360,3,1000,3622
4361,4,1000,3624
4362,5,1000,3621
4363,0,1001,2983
4364,1,1001,2984
4365,2,1001,3638
4366,3,1001,3637
4367,4,1001,3636
4368,5,1001,3635
4369,6,1001,3634
4370,7,1001,3633
4371,8,1001,3632
4372,9,1001,3631
4373,10,1001,3630
4374,11,1001,3629
4375,12,1001,3628
4376,13,1001,3627
4377,14,1001,3626
4378,0,1002,2973
4379,1,1002,2974
4380,2,1002,3648
4381,3,1002,3647
4382,4,1002,3646
4383,5,1002,3645
4384,6,1002,3644
4385,7,1002,3643
4386,8,1002,3642
4387,9,1002,3641
4388,10,1002,3640
4389,11,1002,3639
4390,0,1003,2973
4391,1,1003,2974
4392,2,1003,3656
4393,3,1003,3655
4394,4,1003,3654
4395,5,1003,3653
4396,6,1003,3652
4397,7,1003,3651
4398,8,1003,3650
4399,9,1003,3649
4400,0,1004,2973
4401,1,1004,2974
4402,2,1004,3660
4403,3,1004,3659
4404,4,1004,3658
4405,5,1004,3657
4406,0,1005,2973
4407,1,1005,2974
4408,2,1005,3664
4409,3,1005,3663
4410,4,1005,3662
4411,5,1005,3661
4412,0,1006,2973
4413,1,1006,2974
4414,2,1006,3674
4415,3,1006,3673
4416,4,1006,3672
4417,5,1006,3671
4418,6,1006,3670
4419,7,1006,3669
4420,8,1006,3668
4421,9,1006,3667
4422,10,1006,3666
4423,11,1006,3665
4424,0,1007,2983
4425,1,1007,2984
4426,2,1007,3687
4427,3,1007,3686
4428,4,1007,3685
4429,5,1007,3684
4430,6,1007,3683
4431,7,1007,3682
4432,8,1007,3681
4433,9,1007,3680
4434,10,1007,3679
4435,11,1007,3678
4436,12,1007,3677
4437,13,1007,3676
4438,14,1007,3675
4439,0,1008,2973
4440,1,1008,2974
4441,2,1008,3697
4442,3,1008,3696
4443,4,1008,3695
4444,5,1008,3694
4445,6,1008,3693
4446,7,1008,3692
4447,8,1008,3691
4448,9,1008,3690
4449,10,1008,3689
4450,11,1008,3688
4451,5,946,3698
4454,3,876,3699
4461,1,1033,3711
4462,2,1033,3709
4463,3,1033,3713
4464,4,1033,3712
4465,5,1033,3710
4466,1,1034,3716
4467,2,1034,3714
4468,3,1034,3718
4469,4,1034,3717
4470,5,1034,3715
4480,1,1057,3728
4484,1,1061,3734
4485,2,1061,3733
4486,3,1061,3732
4487,0,1067,3736
4488,1,1067,3735
4489,2,1067,3749
4490,3,1067,3748
4491,4,1067,3747
4492,5,1067,3746
4493,6,1067,3745
4494,7,1067,3744
4495,8,1067,3743
4496,9,1067,3742
4497,10,1067,3741
4498,11,1067,3740
4499,12,1067,3739
4500,13,1067,3738
4501,14,1067,3737
4502,0,1068,3750
4503,1,1068,3751
4504,2,1068,3759
4505,3,1068,3758
4506,4,1068,3757
4507,5,1068,3756
4508,0,1069,3750
4509,1,1069,3751
4510,2,1069,3764
4511,3,1069,3763
4512,4,1069,3762
4513,5,1069,3761
4514,6,1069,3760
4515,0,1070,3736
4516,1,1070,3735
4517,2,1070,3769
4518,3,1070,3768
4519,4,1070,3767
4520,5,1070,3766
4521,6,1070,3765
4522,0,1071,3736
4523,1,1071,3735
4524,2,1071,3772
4525,3,1071,3771
4526,4,1071,3770
4527,0,1072,3736
4528,1,1072,3735
4529,2,1072,3777
4530,3,1072,3776
4531,4,1072,3775
4532,5,1072,3774
4533,6,1072,3773
4534,0,1073,3778
4535,1,1073,3779
4536,2,1073,3782
4537,3,1073,3781
4538,4,1073,3780
4539,0,1074,3778
4540,1,1074,3779
4541,2,1074,3790
4542,3,1074,3789
4543,4,1074,3788
4544,5,1074,3787
4545,6,1074,3786
4546,7,1074,3785
4547,0,1075,3750
4548,1,1075,3751
4549,2,1075,3803
4550,3,1075,3802
4551,4,1075,3801
4552,5,1075,3800
4553,6,1075,3799
4554,7,1075,3798
4555,8,1075,3797
4556,9,1075,3796
4557,10,1075,3795
4558,11,1075,3794
4559,12,1075,3793
4560,13,1075,3792
4561,14,1075,3791
4562,0,1076,3750
4563,1,1076,3751
4564,2,1076,3811
4565,3,1076,3810
4566,4,1076,3809
4567,5,1076,3808
4568,6,1076,3807
4569,7,1076,3806
4570,8,1076,3805
4571,9,1076,3804
4572,0,1080,3778
4573,1,1080,3779
4574,2,1080,3816
4575,3,1080,3815
4576,4,1080,3814
4577,5,1080,3813
4578,6,1080,3812
4579,1,1084,4039
4581,1,1086,4039
4586,1,1087,4039
4654,0,1105,3784
4655,1,1105,3783
4656,2,1105,3866
4657,3,1105,3865
4658,4,1105,3864
4659,0,1106,3784
4660,1,1106,3783
4661,2,1106,3871
4662,3,1106,3870
4663,4,1106,3869
4664,5,1106,3868
4665,6,1106,3867
4666,0,1107,3784
4667,1,1107,3783
4668,2,1107,3875
4669,3,1107,3874
4670,4,1107,3873
4671,5,1107,3872
4693,1,1115,3887
4697,0,1119,3889
4698,1,1119,3888
4699,2,1119,3893
4700,3,1119,3892
4701,4,1119,3891
4702,5,1119,3890
4703,0,1120,3889
4704,1,1120,3888
4705,2,1120,3896
4706,3,1120,3895
4707,4,1120,3894
4708,0,1121,3889
4709,1,1121,3888
4710,2,1121,3899
4711,3,1121,3898
4712,4,1121,3897
4713,0,1122,3902
4714,1,1122,3900
4715,2,1122,3912
4716,3,1122,3911
4717,4,1122,3910
4718,5,1122,3909
4719,6,1122,3908
4720,7,1122,3907
4721,8,1122,3906
4722,9,1122,3905
4723,10,1122,3904
4724,0,1123,3902
4725,1,1123,3900
4726,2,1123,3919
4727,4,1123,3918
4728,5,1123,3917
4729,6,1123,3916
4730,8,1123,3915
4731,9,1123,3914
4732,10,1123,3913
4733,0,1124,3902
4734,1,1124,3900
4735,2,1124,3923
4736,3,1124,3922
4737,4,1124,3921
4738,5,1124,3920
4739,0,1125,3902
4740,1,1125,3900
4741,2,1125,3936
4742,3,1125,3935
4743,4,1125,3934
4744,5,1125,3933
4745,6,1125,3932
4746,7,1125,3931
4747,8,1125,3930
4748,9,1125,3929
4749,10,1125,3928
4750,11,1125,3927
4751,12,1125,3926
4752,13,1125,3925
4753,14,1125,3924
4754,0,1126,3903
4755,1,1126,3901
4756,2,1126,3943
4757,3,1126,3942
4758,4,1126,3941
4759,5,1126,3940
4760,6,1126,3939
4761,7,1126,3938
4762,8,1126,3937
4763,0,1127,3903
4764,1,1127,3901
4765,2,1127,3948
4766,3,1127,3947
4767,4,1127,3946
4768,5,1127,3945
4769,6,1127,3944
4770,0,1128,3903
4771,1,1128,3901
4772,2,1128,3953
4773,3,1128,3952
4774,4,1128,3951
4775,5,1128,3950
4776,6,1128,3949
4777,0,1129,3903
4778,1,1129,3901
4779,2,1129,3960
4780,3,1129,3959
4781,4,1129,3958
4782,5,1129,3957
4783,6,1129,3956
4784,7,1129,3955
4785,8,1129,3954
4786,0,1130,3903
4787,1,1130,3901
4788,2,1130,3967
4789,4,1130,3966
4790,5,1130,3965
4791,6,1130,3964
4792,8,1130,3963
4793,9,1130,3962
4794,10,1130,3961
4795,3,1123,3969
4796,7,1123,3968
4797,3,1130,3971
4798,7,1130,3970
4799,0,1131,3903
4800,1,1131,3901
4801,2,1131,3980
4802,3,1131,3979
4803,4,1131,3978
4804,5,1131,3977
4805,6,1131,3976
4806,7,1131,3975
4807,8,1131,3974
4808,9,1131,3973
4809,10,1131,3972
4810,0,1132,3903
4811,1,1132,3901
4812,2,1132,3984
4813,3,1132,3983
4814,4,1132,3982
4815,5,1132,3981
4816,0,1133,3903
4817,1,1133,3901
4818,2,1133,3987
4819,3,1133,3986
4820,4,1133,3985
4824,0,1136,3989
4825,1,1136,3990
4826,2,1136,4008
4827,3,1136,4007
4828,4,1136,4006
4829,5,1136,4005
4830,6,1136,4004
4831,7,1136,4003
4832,8,1136,4002
4833,9,1136,4001
4834,10,1136,4000
4836,11,1136,3998
4837,12,1136,3997
4838,13,1136,3996
4839,14,1136,3995
4840,15,1136,3994
4841,16,1136,3993
4842,17,1136,3992
4843,18,1136,3991
4844,0,1137,3989
4845,1,1137,3990
4846,2,1137,4018
4847,3,1137,4017
4848,4,1137,4016
4849,5,1137,4015
4850,6,1137,4014
4851,7,1137,4013
4852,8,1137,4012
4853,9,1137,4011
4854,10,1137,4010
4855,11,1137,4009
4856,0,1138,3989
4857,1,1138,3990
4858,2,1138,4022
4859,3,1138,4021
4860,4,1138,4020
4861,5,1138,4019
4865,0,1139,3989
4866,1,1139,3990
4867,2,1139,4029
4868,3,1139,4028
4869,4,1139,4027
4870,5,1139,4026
4871,0,1140,4030
4872,1,1140,4031
4873,2,1140,4038
4874,3,1140,4037
4875,4,1140,4036
4876,5,1140,4035
4877,6,1140,4034
4878,7,1140,4033
4879,8,1140,4032
4880,1,1141,4039
4881,0,1142,4030
4882,1,1142,4031
4883,2,1142,4046
4884,3,1142,4045
4885,4,1142,4044
4886,5,1142,4043
4887,6,1142,4042
4888,7,1142,4041
4889,8,1142,4040
4890,0,1143,4030
4891,1,1143,4031
4892,2,1143,4050
4893,3,1143,4049
4894,4,1143,4048
4895,5,1143,4047
4896,0,1144,4030
4897,1,1144,4031
4898,2,1144,4054
4899,3,1144,4053
4900,4,1144,4052
4901,5,1144,4051
4902,0,1152,4056
4903,1,1152,4055
4904,2,1152,4060
4905,3,1152,4059
4906,4,1152,4058
4907,5,1152,4057
4908,0,1153,4056
4909,1,1153,4055
4910,2,1153,4064
4911,3,1153,4063
4912,4,1153,4062
4913,5,1153,4061
4914,0,1154,4056
4915,1,1154,4055
4916,2,1154,4070
4917,3,1154,4069
4918,4,1154,4068
4919,5,1154,4067
4920,6,1154,4066
4921,7,1154,4065
4922,0,1155,4056
4923,1,1155,4055
4924,2,1155,4083
4925,3,1155,4082
4926,4,1155,4081
4927,5,1155,4080
4928,6,1155,4079
4929,7,1155,4078
4930,8,1155,4077
4931,9,1155,4076
4932,10,1155,4075
4933,11,1155,4074
4934,12,1155,4073
4935,13,1155,4072
4936,14,1155,4071
4937,0,1156,4085
4938,1,1156,4084
4939,2,1156,4091
4940,3,1156,4090
4941,4,1156,4089
4942,5,1156,4088
4943,6,1156,4087
4944,7,1156,4086
4945,0,1157,4085
4946,1,1157,4084
4947,2,1157,4102
4948,3,1157,4101
4949,4,1157,4100
4950,5,1157,4099
4951,6,1157,4098
4952,7,1157,4097
4953,8,1157,4096
4954,9,1157,4095
4955,10,1157,4094
4956,11,1157,4093
4957,12,1157,4092
4958,0,1158,4085
4959,1,1158,4084
4960,2,1158,4106
4961,3,1158,4105
4962,4,1158,4104
4963,5,1158,4103
4964,0,1159,4085
4965,1,1159,4084
4966,2,1159,4117
4967,3,1159,4116
4968,4,1159,4115
4969,5,1159,4114
4970,6,1159,4113
4971,7,1159,4112
4972,8,1159,4111
4973,9,1159,4110
4974,10,1159,4109
4975,11,1159,4108
4976,12,1159,4107
4978,0,1061,4118
4980,1,1161,4039
4981,1,1162,4121
4992,0,1173,3903
4993,1,1173,3901
4994,2,1173,4147
4995,3,1173,4146
4996,4,1173,4145
4997,5,1173,4144
4998,6,1173,4143
4999,7,1173,4142
5000,8,1173,4141
5001,9,1173,4140
5002,10,1173,4139
5003,11,1173,4138
5004,12,1173,4137
5005,13,1173,4136
5006,14,1173,4135
5007,15,1173,4134
5008,16,1173,4133
5009,17,1173,4132
5020,0,1175,3903
5021,1,1175,3901
5022,2,1175,4173
5023,3,1175,4172
5024,4,1175,4171
5025,5,1175,4170
5026,6,1175,4169
5027,7,1175,4168
5028,8,1175,4167
5029,9,1175,4166
5030,10,1175,4165
5031,11,1175,4164
5032,12,1175,4163
5033,13,1175,4162
5034,14,1175,4161
5035,15,1175,4160
5036,16,1175,4159
5037,17,1175,4158
5038,0,1176,3903
5039,1,1176,3901
5040,2,1176,4177
5041,3,1176,4176
5042,4,1176,4175
5043,5,1176,4174
5044,1,1166,4178
5045,2,1166,4179
5046,3,1166,4182
5047,4,1166,4181
5048,5,1166,4180
5051,5,854,4185
5053,0,1181,3902
5054,1,1181,3900
5055,2,1181,4195
5056,3,1181,4194
5057,4,1181,4193
5058,5,1181,4192
5059,6,1181,4191
5060,7,1181,4190
5061,8,1181,4189
5062,9,1181,4188
5063,10,1181,4187
5064,0,1182,3902
5065,1,1182,3900
5066,2,1182,4204
5067,3,1182,4203
5068,4,1182,4202
5069,5,1182,4201
5070,6,1182,4200
5071,7,1182,4199
5072,8,1182,4198
5073,9,1182,4197
5074,10,1182,4196
5095,1,1180,4226
